angle,Distance
1,3.0754320541936675
2,3.119496394223537
3,3.163054349047128
4,3.206063514331296
5,3.2489789789832617
6,3.291257492570045
7,3.332854563307139
8,3.373725203443165
9,3.4138239540097555
10,3.4526125446497797
11,3.491030971849014
12,3.528538710264751
13,3.564601527824717
14,3.60014832757461
15,3.634159413025019
16,3.6665937588566972
17,3.6983671877405566
18,3.727997732902459
19,3.7568718988012257
20,3.7835239557892137
21,3.8088575915056637
22,3.8328253972700033
23,3.8544594508098076
24,3.87464653651368
25,3.892433676007075
26,3.908695365373207
27,3.9229402304027534
28,3.9351344948889597
29,3.944807998177769
30,3.9523746168439633
31,3.957803682082222
32,3.9610654604562114
33,3.9617118756859924
34,3.9597295662007923
35,3.955516452024371
36,3.9486429903952356
37,3.9394999663215255
38,3.927670733803099
39,3.913149941123512
40,3.8959339916124396
41,3.876021040568167
42,3.8534109912204055
43,3.8284711310251627
44,3.800467554150405
45,3.7694233931216576
46,3.7360587468021773
47,3.699681563506429
48,3.660655928524557
49,3.6186660961782486
50,3.5740672596019376
51,3.5268752991856687
52,3.476799934107804
53,3.42388107687343
54,3.3684546636216286
55,3.310256817010629
56,3.2493335522418985
57,3.1857329363995692
58,3.1197699814629605
59,3.051216919982945
60,2.979877511837932
61,2.906314929122196
62,2.830329144673062
63,2.7519794229420995
64,2.671107613006747
65,2.588222635239802
66,2.502958530077491
67,2.4156006147416544
68,2.3262165805953483
69,2.234875605490444
70,2.141648300308388
71,2.0464438853741154
72,1.9495149927509061
73,1.8507901719841708
74,1.75050825185558
75,1.6487464254017645
76,1.5454620108614971
77,1.4408722130467861
78,1.3350573775831762
79,1.228003341186028
80,1.1199047192088738
81,1.0107662064586513
82,0.9006972923215919
83,0.7898691555214619
84,0.6783667076543658
85,0.5662317731667574
86,0.4535762717845415
87,0.34053871435800076
88,0.22720562929935895
89,0.11365503401659716
