angle,Distance
1,0.7875341792290111
2,1.5416571245972879
3,2.2666062535081366
4,2.9621745506629864
5,3.6308048736049994
6,4.273441034767588
7,4.889714082645055
8,5.481720225337494
9,6.050192104655679
10,6.594657797795234
11,7.116946176366773
12,7.617634748166753
13,8.097259671379437
14,8.555271249299555
15,8.994252858077868
16,9.412562117094811
17,9.810667058166743
18,10.190927894392608
19,10.552693156261963
20,10.895370770863703
21,11.220229985664474
22,11.528445122238207
23,11.81850143170048
24,12.091558989667849
25,12.347860428247659
26,12.58763513689017
27,12.81110028904515
28,13.017677728519999
29,13.209146557854437
30,13.384892781250171
31,13.544354930888812
32,13.689193376225484
33,13.818815947374684
34,13.932681504465
35,14.031660892721773
36,14.115895182428435
37,14.185519955810399
38,14.240665730665711
39,14.281458356769493
40,14.308019388157108
41,14.319864391797111
42,14.317734750801892
43,14.301740777732396
44,14.271425371151558
45,14.228034448414569
46,14.170013480999513
47,14.099118949764058
48,14.01438088728112
49,13.915931632376644
50,13.804394041515351
51,13.679862132253877
52,13.541491748286505
53,13.390360035753563
54,13.226559710256563
55,13.0493158282747
56,12.859636115627605
57,12.657204096195368
58,12.44215009033163
59,12.214606122895356
60,11.97432988095546
61,11.722222777487909
62,11.457683390402527
63,11.181232211409618
64,10.893017645247415
65,10.59287427779228
66,10.281303551932544
67,9.958175850901993
68,9.623983637586093
69,9.278364631629007
70,8.922361795452066
71,8.55539643362577
72,8.177990101937691
73,7.79040553041206
74,7.392920079518034
75,6.985827237298144
76,6.569438242083503
77,6.143909397428359
78,5.709792738781127
79,5.267464379722602
80,4.8171903229645245
81,4.359563135473932
82,3.8949352517009785
83,3.423843390266569
84,2.946946279946209
85,2.46475327230233
86,1.9779325554813951
87,1.4872505934799012
88,0.9934015161407892
89,0.4973313967502939
