angle,Distance
1,0.08998621572592214
2,0.17889065347732824
3,0.2676320328385273
4,0.35563037786705465
5,0.4438028583807174
6,0.5310719985934842
7,0.6178563306916267
8,0.7040758546484209
9,0.7891570208374628
10,0.8730247672211142
11,0.95658690885754
12,1.0382933196128832
13,1.1190519704164519
14,1.198301385622635
15,1.2759723035178983
16,1.3524775223595942
17,1.4272651187270124
18,1.5002698124598037
19,1.5714278597873381
20,1.6402072508848171
21,1.7074901195459038
22,1.7727447546019963
23,1.8359138356439448
24,1.8964849574646454
25,1.9548681595588686
26,2.011011618993047
27,2.064419762979158
28,2.1154978041478625
29,2.1637622984727596
30,2.210047761196309
31,2.2530130500037338
32,2.2934927965812246
33,2.3310295625680126
34,2.366016014764714
35,2.397598992197544
36,2.4265856874679095
37,2.4525472229720986
38,2.4758658079268905
39,2.495738859286609
40,2.5125590812022267
41,2.526699789577574
42,2.537399076507219
43,2.5454066936499906
44,2.549988945748993
45,2.5515235267904437
46,2.550019074601799
47,2.545145722928565
48,2.537605432646716
49,2.5267388797454977
50,2.51258437274838
51,2.495497829256694
52,2.4755029565442683
53,2.4526257685199617
54,2.4266006796180672
55,2.3974795358618675
56,2.3655964982132325
57,2.330714692701859
58,2.293158694030007
59,2.252710877635664
60,2.2094357162197316
61,2.1636425276747904
62,2.1151429015788032
63,2.064008265418355
64,2.0105314865295565
65,1.9543422358506835
66,1.8959488762056989
67,1.8352121279545077
68,1.772213879478711
69,1.707217114681903
70,1.639940969195342
71,1.570822941394752
72,1.4996183309213347
73,1.4267350600284825
74,1.3519646876318578
75,1.2756848579575166
76,1.1977234364217342
77,1.1184271205252347
78,1.0376600817144865
79,0.9557374364937665
80,0.8725596145834889
81,0.7884095528390169
82,0.7032238446881731
83,0.6171917538584601
84,0.5304686914692773
85,0.44304521685121934
86,0.3550865649530852
87,0.26667131759683826
88,0.17796563240049146
89,0.08904000722104577
